experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
Mid-level,Full-time,"Data Scientist",120800,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",80500,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"AI Engineer",200000,"United States",Remote,"United States",M,"Machine Learning and AI"
Senior,Full-time,"AI Engineer",170000,"United States",Remote,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Data Scientist",158000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Machine Learning Engineer",296400,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",148594,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Business Intelligence Engineer",145000,"United States",In-person,"United States",M,"BI and Visualization"
Executive,Full-time,"Business Intelligence Engineer",120000,"United States",Remote,"United States",M,"BI and Visualization"
Executive,Full-time,"Business Intelligence Engineer",96000,"United States",Remote,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Data Analyst",103000,"United States",Remote,"United States",M,"Data Analysis"
Senior,Full-time,"Data Product Manager",170000,"United States",In-person,"United States",M,"Leadership and Management"
Senior,Full-time,"Data Product Manager",145000,"United States",In-person,"United States",M,"Leadership and Management"
Mid-level,Full-time,"Data Scientist",85000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Business Intelligence Manager",168000,"United States",Remote,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Business Intelligence Manager",112000,"United States",Remote,"United States",M,"BI and Visualization"
Senior,Full-time,"Data Analyst",110000,"United States",Remote,"United States",L,"Data Analysis"
Mid-level,Full-time,"Data Specialist",100000,"United States",In-person,"United States",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Specialist",88000,"United States",In-person,"United States",M,"Data Management and Strategy"
Senior,Full-time,"Data Scientist",237600,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Engineer",118000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Machine Learning Scientist",210000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Scientist",132000,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Data Engineer",147000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",92000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",116000,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",97800,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Integration Specialist",60000,"United States",In-person,"United States",M,"Data Management and Strategy"
Mid-level,Full-time,"Data Integration Specialist",54000,"United States",In-person,"United States",M,"Data Management and Strategy"
Senior,Full-time,"Data Architect",187500,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",120000,"United States",In-person,"United States",M,"Data Architecture and Modeling"
Mid-level,Full-time,"Data Engineer",195200,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",83900,"United States",In-person,"United States",M,"Data Engineering"
Mid-level,Full-time,"Business Intelligence Engineer",89500,"United States",Remote,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Business Intelligence Engineer",65000,"United States",Remote,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Research Analyst",124000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Research Analyst",74000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Data Analytics Specialist",78800,Malta,In-person,Malta,M,"Leadership and Management"
Entry-level,Full-time,"Data Analytics Specialist",44100,Malta,In-person,Malta,M,"Leadership and Management"
Mid-level,Full-time,"Machine Learning Engineer",160000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Analyst",140726,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",107197,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Machine Learning Engineer",331640,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",283780,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Data Engineer",145000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",120000,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Machine Learning Engineer",230000,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Machine Learning Engineer",175000,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Data Scientist",162000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",80000,"United States",Remote,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",243000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",162000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Engineer",218500,"United States",In-person,"United States",M,"Data Engineering"
